,CM Artist ID,CM Track ID,Title,Artist,Spotify Track IDs,Release Dates
0,2378,13898661,24 Frames,Jason Isbell,"['3TWffuE2fuzzl1qC2W2V6j', '6UAUUbtEhhivBBDSYc1yTI', '60G2RG8fXZBmn4WzSmx5ub', '3KyPhlEAIIAtQ1Vkwxm98b']","['2015-07-17T00:00:00.000Z', '2015-05-04T00:00:00.000Z', '2015-07-17T00:00:00.000Z']"
1,2378,13898648,Traveling Alone,Jason Isbell,"['65oAtBPpdlrKtVCIioBsiT', '2w20fxExhXnMOwHnJPplj2', '6AUA9WhF2ZFwft0z1vnigC', '21Dr2cMwh16IMOuURpYyVQ']","['2013-01-01T00:00:00.000Z', '2013-06-11T00:00:00.000Z', '2013-06-11T00:00:00.000Z']"
2,2378,14529236,Dress Blues,Jason Isbell,"['3848ZeDoHegvDycpqojThA', '0raVnVBwng6NxWZfJnLGRu', '2yEpOmfnIFqmjlN6mh2ruE', '4k27WXu7Os0aS5FHAMEU0S', '70l1HWVrUmNtwu0ijIbS4b']","['2008-12-15T00:00:00.000Z', '2007-07-10T00:00:00.000Z', '2007-07-10T00:00:00.000Z']"
3,2378,13898650,Flying Over Water,Jason Isbell,"['6ir7zILdiI4f2USpROWTDe', '6AbRvpFwUjDCdllmsAbKhn', '0tUIGfeUw4Dxt3ShjXuJf4', '3XAZo7qE1MP9tXc0Y9VDRp']","['2013-01-01T00:00:00.000Z', '2013-06-11T00:00:00.000Z', '2013-06-11T00:00:00.000Z']"
4,2378,13898671,Speed Trap Town - Live from Spotify Nyc,Jason Isbell,['6Fk6DZqbdN27ONYJS5oZDO'],['2015-09-11T00:00:00.000Z']
5,2378,13898663,How To Forget,Jason Isbell,"['6ho5Yu5cntN5evIRULsLUy', '52fMo242CPkuXj35SpdS0o', '5XE47Ya6Q6buWbxoE2ijyv']","['2015-07-17T00:00:00.000Z', '2015-07-17T00:00:00.000Z']"
6,2378,16876470,Elephant (Demo),Jason Isbell,['1i0SOrwepbmNWuw8zxul5Q'],['2013-06-11T00:00:00.000Z']
7,2378,13898672,24 Frames - Live from Spotify Nyc,Jason Isbell,['7BBGdXPXHI0P9iZEnV1xbD'],['2015-09-11T00:00:00.000Z']
8,2378,13898646,Cover Me Up,Jason Isbell,"['5qW6ZYct54PhKliCntyxRX', '5lX6ldSrhFuKyZUDt12bpE', '0htFHn4KWkRwjpYyFi29hJ', '2oeit7YXlSQLwBxSW19Gu0']","['2013-01-01T00:00:00.000Z', '2013-06-11T00:00:00.000Z', '2013-06-11T00:00:00.000Z']"
9,2378,13898660,If It Takes A Lifetime,Jason Isbell,"['2GqkNGlvr2lKqTuga0yUnu', '2hsf7VvrBm44soR5rtDVXw', '4KmopqaLadR3MBUNfU8MLw']","['2015-07-17T00:00:00.000Z', '2015-07-17T00:00:00.000Z']"
10,2378,13898666,Something More Than Free,Jason Isbell,"['1b0QKU3QxqpWDsrdvTuvpM', '0ho6KbJGma0aL3x59zVAfY', '55d4weCAdbgayvvceaCJyO', '4OTP2BUcJvgFwAQNdEQ9E1', '52d2yoBfStXzTTLCOgfozo']","['2015-07-17T00:00:00.000Z', '2015-06-16T00:00:00.000Z', '2015-07-17T00:00:00.000Z']"
11,2378,14529237,Grown,Jason Isbell,"['0H9ngzQTaAuMbHrFO0Y1Ha', '0PDwiz7yrKhTVP98igAUYt', '1yTMo14KDAPCYDoNURWNvp', '38LZ5dXUdEOOe8Qvsq7yOk', '0E3miv4mkiOVR9PAxrgds4']","['2008-12-15T00:00:00.000Z', '2007-07-10T00:00:00.000Z', '2007-07-10T00:00:00.000Z']"
12,2378,13898657,Relatively Easy,Jason Isbell,"['3lOp6zdA4v2REkTjnvkmVB', '4rTeKmdppkWFDf4kbhGyLU', '2ZOosmho4p7E2qGUXJEc3z', '0l8fNhGwCHUKbYWs4rw1nP']","['2013-01-01T00:00:00.000Z', '2013-06-11T00:00:00.000Z', '2013-06-11T00:00:00.000Z']"
13,2378,15091085,God Is A Working Man,Jason Isbell,['3w6UGxqlLSKTNIruOBjxz7'],['2016-03-11T00:00:00.000Z']
14,2378,13898659,Mutineer,Jason Isbell,['0qklvPSseSCLwhPUl7uq1d'],['2015-02-10T00:00:00.000Z']
15,2378,13898674,Children of Children - Live from Spotify Nyc,Jason Isbell,['2qvv1kepGfrXhhczGLMipo'],['2015-09-11T00:00:00.000Z']
16,2378,13898649,Elephant,Jason Isbell,"['4wbVpisiHe5NpHb08UwG3N', '5hDrVjYuVbJ00KfzbrwtXa', '6HnyDQf00fg8XgZWIBFVVl', '70pT4gGnXoaDmZEoluKDSP']","['2013-01-01T00:00:00.000Z', '2013-06-11T00:00:00.000Z', '2013-06-11T00:00:00.000Z']"
17,2378,13898668,Hudson Commodore,Jason Isbell,"['1Chpkgi6Xw5Uik5u5SRVCZ', '27Han1aIwV1krTY254rFxu']",['2015-07-17T00:00:00.000Z']
18,2378,13898669,Palmetto Rose,Jason Isbell,"['1pYxM230Ee7Vhn5qWGmblx', '2fLViqkrT5Gd0xqWb1srEP']",['2015-07-17T00:00:00.000Z']
